doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission,char_count
iuh-huong-dan-dang-ky-hoc-phan,data/k3_university/iuh-huong-dan-dang-ky-hoc-phan.md,Hướng dẫn đăng ký học phần (ĐH Công nghiệp TP.HCM),https://camnang.iuh.edu.vn/huong-dan-dang-ky-hoc-phan.php,2026-08-03,not-stated,public-source,2747
ou-quy-che-hoc-vu-tin-chi,data/k3_university/ou-quy-che-hoc-vu-tin-chi.md,Quy chế học vụ theo học chế tín chỉ (ĐH Mở TP.HCM),http://v1.ou.edu.vn/qldt/Pages/Quy-che-hoc-vu-theo-hoc-che-tin-chi.aspx,2026-08-03,not-stated,public-source,38251
ueh-dang-ky-huy-hoc-phan,data/k3_university/ueh-dang-ky-huy-hoc-phan.md,Quy định đăng ký và hủy học phần đã đăng ký (UEH),https://daotao.ueh.edu.vn/quy-dinh-dang-ky-va-huy-hoc-phan-da-dang-ky-cua-sinh-vien-dai-hoc-chinh-quy-trong-dao-tao-theo-he-thong-tin-chi-tai-truong-dai-hoc-kinh-te-tp-ho-chi-minh/,2026-08-03,not-stated,public-source,9433
vinuni-academic-regulations-undergrad,data/k3_university/vinuni-academic-regulations-undergrad.md,Academic Regulations for Full-Time Undergraduate Programs,https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs/,2026-08-03,not-stated,public-source,68770
vinuni-class-schedule-registration,data/k3_university/vinuni-class-schedule-registration.md,Class Schedule and Course Registration,https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration/,2026-08-03,not-stated,public-source,3973
vinuni-credit-transfer,data/k3_university/vinuni-credit-transfer.md,Procedural Guidelines for Credit Transfer Requests,https://policy.vinuni.edu.vn/all-policies/credit-transfer-requests/,2026-08-03,not-stated,public-source,5143
vinuni-leave-of-absence,data/k3_university/vinuni-leave-of-absence.md,Procedure for Requesting a Leave of Absence Withdrawal and Return,https://policy.vinuni.edu.vn/all-policies/procedure-for-requesting-a-leave-of-absence-withdrawal-and-return-from-a-leave-of-absence/,2026-08-03,not-stated,public-source,7398
vinuni-registrar-faqs,data/k3_university/vinuni-registrar-faqs.md,Registrar FAQs,https://registrar.vinuni.edu.vn/faqs/,2026-08-03,not-stated,public-source,4776
vinuni-registrar-policy-index,data/k3_university/vinuni-registrar-policy-index.md,Registrar Policy and Regulations,https://registrar.vinuni.edu.vn/academics/policy-regulations/,2026-08-03,not-stated,public-source,5476
vnuf-huong-dan-quy-che-tin-chi,data/k3_university/vnuf-huong-dan-quy-che-tin-chi.md,Hướng dẫn thực hiện quy chế đào tạo theo hệ thống tín chỉ (ĐH Lâm nghiệp),https://vnuf.edu.vn/huong-dan-thuc-hien-quy-che-dao-tao-dai-hoc-cao-dang-he-chinh-quy-theo-he-thong-tin-chi.html,2026-08-03,not-stated,public-source,37187
